,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
767,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,MacRostie 2014 Chardonnay (Russian River Valley),90,$32.00
768,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,MacRostie 2014 Dutton Ranch Chardonnay (Russian River Valley),90,$46.00
769,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Saddleback 2014 Chardonnay (Napa Valley),87,$32.00
771,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Brutocao 2014 Hopland Ranches Estate Bottled Chardonnay (Mendocino),89,$18.00
772,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Ryan Cochrane 2014 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),95,$34.00
773,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Sand Point 2014 Chardonnay (Lodi),86,$12.00
774,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Grevino 2014 Estate Vineyards Chardonnay (Santa Maria Valley),90,$50.00
775,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Kobler 2014 Bacigalupi Vineyards Chardonnay (Russian River Valley),90,$46.00
776,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Sbragia 2014 Gamble Ranch Vineyard Chardonnay (Napa Valley),93,$48.00
777,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Cuvaison 2014 Estate Grown Chardonnay (Carneros),88,$25.00
778,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Reaper 2014 Chardonnay (Russian River Valley),88,$25.00
779,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Truchard 2014 Chardonnay (Carneros-Napa Valley),91,$30.00
780,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Kunde 2014 C.S. Ridge Vineyard Chardonnay (Sonoma Valley),86,$30.00
781,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,ZD 2014 Reserve Chardonnay (Carneros),92,$75.00
782,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Keller Estate 2014 La Cruz Vineyard Chardonnay (Sonoma Coast),90,$38.00
783,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Eaglewood 2014 Chardonnay (Napa Valley),85,$20.00
784,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Stephen Ross 2014 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),93,$30.00
785,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Darcie Kent Vineyards 2014 Hoffman Vineyard Chardonnay (Livermore Valley),90,$40.00
786,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Balverne 2014 Estate Grown Chardonnay (Russian River Valley),88,$24.00
787,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Bien Nacido 2014 Chardonnay (Santa Maria Valley),94,$45.00
788,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Gary Farrell 2014 Rochioli-Allen Vineyard Chardonnay (Russian River Valley),93,$60.00
789,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Byron 2014 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),93,$40.00
790,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Les Belles Collines 2014 Chardonnay (Russian River Valley),91,$35.00
791,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Sarah's Vineyard 2014 Estate Reserve Chardonnay (Santa Clara Valley),91,$32.00
792,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Conn Creek 2014 Chardonnay (Carneros),92,$25.00
793,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Gregory Graham 2014 Wedge Block Chardonnay (Lake County),87,$25.00
794,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Balletto 2014 Cider Ridge Vineyard Estate Grown Estate Bottled Chardonnay (Russian River Valley),90,$38.00
795,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Freemark Abbey 2014 Chardonnay (Napa Valley),91,$30.00
796,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Covenant 2014 Lavan Chardonnay (Sonoma Mountain),92,$38.00
797,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Lincourt 2014 Rancho Santa Rosa Chardonnay (Sta. Rita Hills),93,$30.00
798,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Loring Wine Company 2014 Chardonnay (Santa Lucia Highlands),89,$24.00
799,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Brick & Mortar 2014 Cougar Rock Vineyard Chardonnay (Napa Valley),94,$42.00
800,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Blue Farm 2014 Gap's Crown Vineyard Chardonnay (Sonoma Coast),94,$55.00
801,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Seven Angels 2014 Chardonnay (Edna Valley),88,$28.00
802,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,San Simeon 2014 Estate Reserve Chardonnay (Monterey),88,$18.00
803,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Cinnabar 2014 Chardonnay (Monterey),86,$20.00
804,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Sill Family 2014 Très Chardonnay (Sonoma County),89,$65.00
805,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Poseidon 2014 Boon's Fly Hill Estate Grown Chardonnay (Carneros),93,$50.00
